"id","session","timestamp","realm","success","input"
"248","66c03a60ed02","2023-12-24 14:19:30",NULL,"1","uname -s -v -n -r -m"
"249","892eafce09ba","2023-12-24 14:20:51",NULL,"1","uname -s -v -n -r -m"
"250","6614fa702dac","2023-12-24 14:21:09",NULL,"1","uname -s -v -n -r -m"
"251","f48651ad5eb9","2023-12-24 14:21:36",NULL,"1","uname -s -v -n -r -m"
"252","db4651a8a505","2023-12-24 14:21:45",NULL,"1","uname -s -v -n -r -m"
"253","b4b3150e407f","2023-12-24 14:22:48",NULL,"1","uname -s -v -n -r -m"
"254","6fa270be7704","2023-12-24 14:23:33",NULL,"1","uname -s -v -n -r -m"
"255","41a9bce33b72","2023-12-24 14:24:00",NULL,"1","uname -s -v -n -r -m"
"256","35a03609901c","2023-12-24 14:24:36",NULL,"1","uname -s -v -n -r -m"
"257","db289d321f68","2023-12-24 14:25:12",NULL,"1","uname -s -v -n -r -m"
"258","fb0aa16093b0","2023-12-24 14:26:22",NULL,"1","uname -s -v -n -r -m"
"259","efbc5bd98070","2023-12-24 14:26:30",NULL,"1","uname -s -v -n -r -m"
"260","5b1c8e73bc8b","2023-12-24 14:28:25",NULL,"1","uname -s -v -n -r -m"
"261","2c36c430d615","2023-12-24 14:28:34",NULL,"1","uname -s -v -n -r -m"
"262","dde1934adedd","2023-12-24 14:29:43",NULL,"1","uname -s -v -n -r -m"
"263","8ceaacf9cf50","2023-12-24 14:29:52",NULL,"1","uname -s -v -n -r -m"
"264","05519bc5f21a","2023-12-24 14:30:54",NULL,"1","uname -s -v -n -r -m"
"265","ccc67a0a54ed","2023-12-24 19:01:49",NULL,"1","/ip cloud print"
"266","ccc67a0a54ed","2023-12-24 19:01:49",NULL,"0","/ip cloud print"
"267","ccc67a0a54ed","2023-12-24 19:01:49",NULL,"1","ifconfig"
"268","ccc67a0a54ed","2023-12-24 19:01:51",NULL,"1","uname -a"
"269","ccc67a0a54ed","2023-12-24 19:01:52",NULL,"1","cat /proc/cpuinfo"
"270","ccc67a0a54ed","2023-12-24 19:01:53",NULL,"1","ps | grep '[Mm]iner'"
"271","ccc67a0a54ed","2023-12-24 19:01:54",NULL,"1","ps -ef | grep '[Mm]iner'"
"272","ccc67a0a54ed","2023-12-24 19:01:54",NULL,"1","ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*"
"273","ccc67a0a54ed","2023-12-24 19:01:56",NULL,"1","echo Hi | cat -n"
"274","67652d41991e","2023-12-24 21:08:06",NULL,"1","uname -s -m"
"275","a2bbf1d9df3b","2023-12-25 01:16:23",NULL,"1","uname -a;nproc"
"276","aaa7b82f1d10","2023-12-25 01:16:47",NULL,"1","uname -a;nproc"
"277","4d2fca330d01","2023-12-25 01:17:11",NULL,"1","uname -a;nproc"
"278","58bb979bcadc","2023-12-25 01:17:36",NULL,"1","uname -a;nproc"
"279","0eb5d33a5eb7","2023-12-25 01:18:00",NULL,"1","uname -a;nproc"
"280","abe4583599c1","2023-12-25 01:18:24",NULL,"1","uname -a;nproc"
"281","8b399a93df39","2023-12-25 01:18:47",NULL,"1","uname -a;nproc"
"282","be3d7816b9f2","2023-12-25 01:19:12",NULL,"1","uname -a;nproc"
"283","7af08ae09310","2023-12-25 01:19:36",NULL,"1","uname -a;nproc"
"284","fbcdc751d2c1","2023-12-25 01:20:01",NULL,"1","uname -a;nproc"
"285","78af335f3e34","2023-12-25 01:20:26",NULL,"1","uname -a;nproc"
"286","b31a802dfb58","2023-12-25 01:20:51",NULL,"1","uname -a;nproc"
"287","3ab71997b78a","2023-12-25 01:21:16",NULL,"1","uname -a;nproc"
"288","8658719ae760","2023-12-25 01:21:43",NULL,"1","uname -a;nproc"
"289","fef68ee7ef3f","2023-12-25 01:22:08",NULL,"1","uname -a;nproc"
"290","71af97b06250","2023-12-25 01:22:33",NULL,"1","uname -a;nproc"
"291","71f57e1e15d8","2023-12-25 01:22:57",NULL,"1","uname -a;nproc"
"292","8e39214187a4","2023-12-25 01:23:21",NULL,"1","uname -a;nproc"
"293","5ecbcf4f8e0e","2023-12-25 01:24:10",NULL,"1","uname -a;nproc"
"294","06781226f535","2023-12-25 01:24:34",NULL,"1","uname -a;nproc"
"295","971a161972c4","2023-12-25 01:24:57",NULL,"1","uname -a;nproc"
"296","ac33b19425ae","2023-12-25 01:25:21",NULL,"1","uname -a;nproc"
"297","676e8aafbae9","2023-12-25 01:26:10",NULL,"1","uname -a;nproc"
"298","0e309d199853","2023-12-25 01:26:35",NULL,"1","uname -a;nproc"
